SNO,name,email,Completion%,totalTask,pendingTask,submittedTask,Unverified,TaskTotalMark,TaskAverageMark,TASK - 1,TASK - 2,TASK - 3,TASK - 4,TASK - 5,TASK - 6,TASK - 7,TASK - 8,TASK - 9,TASK - 10,TASK - 11,TASK - 12,TASK - 13,TASK - 14,TASK - 15,TASK - 16,TASK - 17,TASK - 18,TASK - 19,TASK - 20,TASK - 21,TASK - 22,TASK - 23,TASK - 24,TASK - 25,TASK - 26,TASK - 27,TASK - 28,TASK - 29
23,Student23,student23@gmail.com,17.24137931,29,24,5,4,7.2,2.482758621,NS,NS,-,7.2,-,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
24,Student24,student24@gmail.com,13.79310345,29,25,4,3,7,2.413793103,-,-,7,NS,NS,NS,NS,NS,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
25,Student25,student25@gmail.com,55.17241379,29,13,16,12,26,8.965517241,6,-,-,-,-,-,7,-,6,7,-,-,-,-,-,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS
26,Student26,student26@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
27,Student27,student27@gmail.com,24.13793103,29,22,7,7,0,0,-,-,-,-,NS,NS,-,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS
28,Student28,student28@gmail.com,72.4137931,29,8,21,18,19.8,6.827586207,-,-,-,-,-,-,-,6.8,-,7,6,NS,-,-,-,NS,NS,NS,NS,-,-,-,-,-,-,-,NS,NS,NS
29,Student29,student29@gmail.com,48.27586207,29,15,14,10,25,8.620689655,-,-,7,-,NS,-,-,8,6,-,4,-,-,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
30,Student30,student30@gmail.com,86.20689655,29,4,25,20,34.9,12.03448276,7.2,7.2,7,-,NS,-,-,-,-,7.5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,NS,NS
31,Student31,student31@gmail.com,55.17241379,29,13,16,11,34.1,11.75862069,8,-,-,-,7,-,-,5.5,-,6,7.6,-,-,-,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
32,Student32,student32@gmail.com,27.5862069,29,21,8,6,14,4.827586207,7,7,-,-,NS,NS,-,NS,NS,-,NS,NS,-,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
33,Student33,student33@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
34,Student34,student34@gmail.com,17.24137931,29,24,5,4,7.2,2.482758621,-,-,-,-,NS,NS,NS,7.2,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
35,Student35,student35@gmail.com,24.13793103,29,22,7,7,0,0,-,-,-,-,-,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
36,Student36,student36@gmail.com,17.24137931,29,24,5,4,7,2.413793103,7,-,-,-,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
37,Student37,student37@gmail.com,6.896551724,29,27,2,2,0,0,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
38,Student38,student38@gmail.com,86.20689655,29,4,25,21,28.5,9.827586207,-,-,-,-,-,-,-,7,7,7,7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,NS,-,NS,NS
39,Student39,student39@gmail.com,65.51724138,29,10,19,11,50.1,17.27586207,-,5,-,6.5,-,6,6,6,7.6,6,7,-,-,-,-,-,NS,NS,NS,-,-,-,NS,NS,NS,NS,NS,NS,NS
40,Student40,student40@gmail.com,65.51724138,29,10,19,11,51.9,17.89655172,-,10,-,5,-,4,6,5,7.6,7.3,7,-,-,-,-,-,NS,NS,NS,-,-,-,NS,NS,NS,NS,NS,NS,NS
41,Student41,student41@gmail.com,86.20689655,29,4,25,19,38.9,13.4137931,-,-,-,-,6.2,7.2,-,-,6,6.5,6,7,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,NS,NS,NS
42,Student42,student42@gmail.com,68.96551724,29,9,20,16,26.4,9.103448276,-,-,-,-,-,-,-,7,6.4,6,7,-,-,-,-,-,-,NS,NS,NS,-,NS,NS,-,NS,NS,-,NS,NS
43,Student43,student43@gmail.com,44.82758621,29,16,13,9,31.5,10.86206897,-,-,-,-,-,-,-,6.9,8.5,7.6,NS,8.5,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
44,Student44,student44@gmail.com,72.4137931,29,8,21,20,7.2,2.482758621,-,-,-,-,-,-,-,-,-,7.2,-,-,-,-,-,NS,NS,NS,NS,-,-,-,-,-,NS,NS,-,NS,NS
45,Student45,student45@gmail.com,51.72413793,29,14,15,9,42.9,14.79310345,-,-,-,7.2,-,7.6,7,7,NS,6.5,7.6,NS,-,-,-,NS,NS,NS,NS,-,-,NS,NS,NS,NS,NS,NS,NS,NS
46,Student46,student46@gmail.com,44.82758621,29,16,13,9,27.1,9.344827586,-,-,-,-,NS,-,-,7.5,7.6,5,-,7,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
47,Student47,student47@gmail.com,68.96551724,29,9,20,17,19.6,6.75862069,-,-,-,-,-,-,-,6.6,-,6.5,6.5,-,-,-,-,-,NS,NS,NS,-,-,-,-,NS,NS,NS,NS,NS,NS
48,Student48,student48@gmail.com,93.10344828,29,2,27,21,36.5,12.5862069,-,7,-,-,-,NS,7,6,4,5,7.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS
49,Student49,student49@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
50,Student50,student50@gmail.com,44.82758621,29,16,13,10,25.1,8.655172414,-,-,-,-,-,-,-,7.6,-,9,NS,8.5,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
51,Student51,student51@gmail.com,79.31034483,29,6,23,17,37.8,13.03448276,-,7,-,-,-,-,-,6.8,5,5,7,7,-,-,-,-,NS,NS,-,-,-,-,-,-,-,NS,NS,NS,NS
52,Student52,student52@gmail.com,65.51724138,29,10,19,11,48.7,16.79310345,7.5,7,-,-,-,-,6.2,5,5,6,7,5,-,-,-,-,NS,NS,-,NS,-,-,NS,NS,NS,NS,NS,NS,NS
53,Student53,student53@gmail.com,0,29,29,0,0,0,0,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
54,Student54,student54@gmail.com,93.10344828,29,2,27,23,26,8.965517241,-,-,-,-,-,-,-,6,-,6,7,7,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,NS,-
55,Student55,student55@gmail.com,51.72413793,29,14,15,12,18,6.206896552,-,-,-,7,NS,-,-,-,NS,5,6,NS,-,-,NS,NS,NS,NS,NS,-,-,-,-,NS,NS,NS,NS,NS,NS
56,Student56,student56@gmail.com,27.5862069,29,21,8,6,11,3.793103448,-,-,-,-,NS,NS,NS,6,NS,5,NS,NS,-,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
